ID-table,table-de-quartier,ID-org,organisme,category,link
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0001,Carrefour d’éducation populaire de Pointe-Saint-Charles,Membres actifs,https://www.google.com/maps/search/?api=1&query=Carrefour%20d%E2%80%99%C3%A9ducation%20populaire%20de%20Pointe-Saint-Charles%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0002,Centre africain de développement et d’entraide (CADE),Membres actifs,https://www.google.com/maps/search/?api=1&query=Centre%20africain%20de%20d%C3%A9veloppement%20et%20d%E2%80%99entraide%20%28CADE%29%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0003,Centre des aînés de Pointe-Saint-Charles,Membres actifs,https://www.google.com/maps/search/?api=1&query=Centre%20des%20a%C3%AEn%C3%A9s%20de%20Pointe-Saint-Charles%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0004,Cité des Bâtisseurs,Membres actifs,https://www.google.com/maps/search/?api=1&query=Cit%C3%A9%20des%20B%C3%A2tisseurs%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0005,Clinique communautaire de Pointe-Saint-Charles,Membres actifs,https://www.google.com/maps/search/?api=1&query=Clinique%20communautaire%20de%20Pointe-Saint-Charles%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0006,Club populaire des consommateurs de Pointe-Saint-Charles,Membres actifs,https://www.google.com/maps/search/?api=1&query=Club%20populaire%20des%20consommateurs%20de%20Pointe-Saint-Charles%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0007,Comité des personnes assistées sociales de Pointe-Saint-Charles,Membres actifs,https://www.google.com/maps/search/?api=1&query=Comit%C3%A9%20des%20personnes%20assist%C3%A9es%20sociales%20de%20Pointe-Saint-Charles%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0008,Comité des sans emploi de Pointe-Saint-Charles,Membres actifs,https://www.google.com/maps/search/?api=1&query=Comit%C3%A9%20des%20sans%20emploi%20de%20Pointe-Saint-Charles%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0009,Familles en action,Membres actifs,https://www.google.com/maps/search/?api=1&query=Familles%20en%20action%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0010,Fermette de Pointe-Saint-Charles,Membres actifs,https://www.google.com/maps/search/?api=1&query=Fermette%20de%20Pointe-Saint-Charles%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0011,Épicerie Le Détour,Membres actifs,https://www.google.com/maps/search/?api=1&query=%C3%89picerie%20Le%20D%C3%A9tour%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0012,Madame Prend Congé,Membres actifs,https://www.google.com/maps/search/?api=1&query=Madame%20Prend%20Cong%C3%A9%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0013,Maison des jeunes AdoZone,Membres actifs,https://www.google.com/maps/search/?api=1&query=Maison%20des%20jeunes%20AdoZone%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0014,Maison Saint-Columba House,Membres actifs,https://www.google.com/maps/search/?api=1&query=Maison%20Saint-Columba%20House%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0015,Partageons l’espoir,Membres actifs,https://www.google.com/maps/search/?api=1&query=Partageons%20l%E2%80%99espoir%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0016,Prévention Sud-Ouest,Membres actifs,https://www.google.com/maps/search/?api=1&query=Pr%C3%A9vention%20Sud-Ouest%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0017,Regroupement Information Logement (RIL),Membres actifs,https://www.google.com/maps/search/?api=1&query=Regroupement%20Information%20Logement%20%28RIL%29%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
T01,CDC Action-Gardien de Pointe-Saint-Charles,O0018,RÉSO / Carrefour jeunesse emploi (CJE),Membres actifs,https://www.google.com/maps/search/?api=1&query=R%C3%89SO%20/%20Carrefour%20jeunesse%20emploi%20%28CJE%29%2C%20Montr%C3%A9al%2C%20QC%2C%20Canada
