ligne,organisme,statut,lien
2,Carrefour d’éducation populaire de Pointe-Saint-Charles,exact,https://maps.google.com/?cid=16555510651512012241&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
3,Centre africain de développement et d’entraide (CADE),doute,
4,Centre des aînés de Pointe-Saint-Charles,exact,https://maps.google.com/?cid=9210087278916887083&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
5,Cité des Bâtisseurs,exact,https://maps.google.com/?cid=4681383861576032603&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
6,Clinique communautaire de Pointe-Saint-Charles,exact,https://maps.google.com/?cid=3026189140473889832&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
7,Club populaire des consommateurs de Pointe-Saint-Charles,exact,https://maps.google.com/?cid=1707984837002402683&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
8,Comité des personnes assistées sociales de Pointe-Saint-Charles,exact,https://maps.google.com/?cid=6917613956194451491&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
9,Comité des sans emploi de Pointe-Saint-Charles,exact,https://maps.google.com/?cid=9210087278916887083&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
10,Familles en action,exact,https://maps.google.com/?cid=1637122129977159178&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
11,Fermette de Pointe-Saint-Charles,exact,https://maps.google.com/?cid=7436950519392616082&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
12,Épicerie Le Détour,exact,https://maps.google.com/?cid=2267186497035864882&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
13,Madame Prend Congé,exact,https://maps.google.com/?cid=16792533798202443853&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
14,Maison des jeunes AdoZone,exact,https://maps.google.com/?cid=7786856529592834284&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
